timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592421360502,1890,q7,200,OK,Thread Group 1-1,text,true,,8816,0,1,1,null,1732,0,582
1592421362393,3044,q78,200,OK,Thread Group 1-1,text,true,,3762,0,1,1,null,2886,0,0
1592421365437,5035,q1,200,OK,Thread Group 1-1,text,true,,1714,0,1,1,null,4878,0,0
1592421370472,1464,q91,200,OK,Thread Group 1-1,text,true,,2596,0,1,1,null,1307,0,0
1592421371936,4432,q43,200,OK,Thread Group 1-1,text,true,,14078,0,1,1,null,4270,0,0
1592421376367,1452,q63,200,OK,Thread Group 1-1,text,true,,3569,0,1,1,null,1346,0,0
1592421377819,4668,q81,200,OK,Thread Group 1-1,text,true,,13225,0,1,1,null,4509,0,0
1592421382489,1191,q3,200,OK,Thread Group 1-1,text,true,,4745,0,1,1,null,1083,0,0
1592421383680,10905,q51,200,OK,Thread Group 1-1,text,true,,4890,0,1,1,null,10743,0,0
1592421394585,11024,q31,200,OK,Thread Group 1-1,text,true,,28486,0,1,1,null,10869,0,0
1592421405609,18569,q11,200,OK,Thread Group 1-1,text,true,,5847,0,1,1,null,18410,0,0
1592421424179,1855,q93,200,OK,Thread Group 1-1,text,true,,912,0,1,1,null,1700,0,0
1592421426034,3679,q50,200,OK,Thread Group 1-1,text,true,,9103,0,1,1,null,3517,0,0
1592421429714,1228,q42,200,OK,Thread Group 1-1,text,true,,442,0,1,1,null,1066,0,0
1592421430942,2479,q57,200,OK,Thread Group 1-1,text,true,,8888,0,1,1,null,2319,0,0
1592421433421,2298,q73,200,OK,Thread Group 1-1,text,true,,6315,0,1,1,null,2139,0,0
1592421435720,1464,q2,200,OK,Thread Group 1-1,text,true,,86777,0,1,1,null,1353,0,0
1592421437184,31235,q4,200,OK,Thread Group 1-1,text,true,,5874,0,1,1,null,31023,0,0
1592421468419,1229,q99,200,OK,Thread Group 1-1,text,true,,526,0,1,1,null,919,0,0
1592421469649,5800,q68,200,OK,Thread Group 1-1,text,true,,6975,0,1,1,null,5642,0,0
1592421475450,2604,q61,200,OK,Thread Group 1-1,text,true,,76,0,1,1,null,2445,0,0
1592421478055,1244,q76,200,OK,Thread Group 1-1,text,true,,6642,0,1,1,null,1087,0,0
