timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1588800570588,19290,q96,200,OK,Thread Group 1-1,text,true,,13,0,1,1,null,2467,0,713
1588800589879,23559,q7,200,OK,Thread Group 1-1,text,true,,8788,0,1,1,null,1660,0,0
1588800613439,22981,q19,200,OK,Thread Group 1-1,text,true,,5951,0,1,1,null,1918,0,0
1588800636420,30342,q25,200,OK,Thread Group 1-1,text,true,,16188,0,1,1,null,1825,0,0
1588800666763,58083,q78,200,OK,Thread Group 1-1,text,true,,3762,0,1,1,null,3015,0,0
1588800724847,5468,q1,200,OK,Thread Group 1-1,text,true,,1714,0,1,1,null,1627,0,0
1588800730315,14685,q91,200,OK,Thread Group 1-1,text,true,,2658,0,1,1,null,3015,0,0
1588800745000,27977,q43,200,OK,Thread Group 1-1,text,true,,14744,0,1,1,null,1449,0,0
1588800772977,4889,q45,200,OK,Thread Group 1-1,text,true,,2184,0,1,1,null,1768,0,0
1588800777866,98656,q64,200,OK,Thread Group 1-1,text,true,,1153891,0,1,1,null,4841,0,0
1588800876522,17551,q33,200,OK,Thread Group 1-1,text,true,,1955,0,1,1,null,1894,0,0
1588800894074,22374,q46,200,OK,Thread Group 1-1,text,true,,4489,0,1,1,null,1859,0,0
1588800916447,3953,q62,200,OK,Thread Group 1-1,text,true,,4667,0,1,1,null,1774,0,0
1588800920401,10147,q10,200,OK,Thread Group 1-1,text,true,,4881,0,1,1,null,2998,0,0
1588800930549,22911,q63,200,OK,Thread Group 1-1,text,true,,3905,0,1,1,null,1578,0,0
1588800953460,9954,q69,200,OK,Thread Group 1-1,text,true,,3897,0,1,1,null,2970,0,0
1588800963416,17376,q60,200,OK,Thread Group 1-1,text,true,,3016,0,1,1,null,1837,0,0
1588800980791,26580,q59,200,OK,Thread Group 1-1,text,true,,15384,0,1,1,null,1453,0,0
1588801007371,6846,q85,200,OK,Thread Group 1-1,text,true,,2618,0,1,1,null,2972,0,0
1588801014217,21984,q28,200,OK,Thread Group 1-1,text,true,,321,0,1,1,null,1149,0,0
1588801036201,8160,q81,200,OK,Thread Group 1-1,text,true,,13225,0,1,1,null,1618,0,1
1588801044361,20451,q97,200,OK,Thread Group 1-1,text,true,,68,0,1,1,null,1445,0,0
1588801064812,29175,q17,200,OK,Thread Group 1-1,text,true,,16991,0,1,1,null,1822,0,0
1588801093988,262147,q47,200,OK,Thread Group 1-1,text,true,,11320,0,1,1,null,1602,0,0
1588801356135,28080,q3,200,OK,Thread Group 1-1,text,true,,4649,0,1,1,null,1479,0,0
1588801384217,18131,q51,200,OK,Thread Group 1-1,text,true,,5066,0,1,1,null,1423,0,0
1588801402347,11847,q35,200,OK,Thread Group 1-1,text,true,,5168,0,1,1,null,3021,0,0
1588801414195,14722,q49,200,OK,Thread Group 1-1,text,true,,2915,0,1,1,null,3033,0,0
1588801428917,22609,q9,200,OK,Thread Group 1-1,text,true,,131,0,1,1,null,1302,0,0
1588801451526,22655,q31,200,OK,Thread Group 1-1,text,true,,28481,0,1,1,null,1612,0,0
