timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1588776732600,15001,q96,200,OK,Thread Group 1-1,text,true,,13,0,1,1,null,2331,0,513
1588776747608,39815,q7,200,OK,Thread Group 1-1,text,true,,8768,0,1,1,null,1782,0,0
1588776787423,33287,q19,200,OK,Thread Group 1-1,text,true,,5915,0,1,1,null,2040,0,0
1588776820710,50344,q25,200,OK,Thread Group 1-1,text,true,,16188,0,1,1,null,2149,0,0
1588776871055,90881,q78,200,OK,Thread Group 1-1,text,true,,3762,0,1,1,null,2255,0,0
1588776961937,6987,q1,200,OK,Thread Group 1-1,text,true,,1714,0,1,1,null,1784,0,0
1588776968924,4099,q91,200,OK,Thread Group 1-1,text,true,,2550,0,1,1,null,2158,0,0
1588776973023,42066,q43,200,OK,Thread Group 1-1,text,true,,14646,0,1,1,null,1477,0,0
1588777015089,4673,q45,200,OK,Thread Group 1-1,text,true,,2184,0,1,1,null,1870,0,0
1588777019763,157548,q64,200,OK,Thread Group 1-1,text,true,,1153891,0,1,1,null,5368,0,0
1588777177311,28889,q33,200,OK,Thread Group 1-1,text,true,,1980,0,1,1,null,2152,0,0
1588777206200,36321,q46,200,OK,Thread Group 1-1,text,true,,4500,0,1,1,null,2059,0,0
1588777242521,3198,q62,200,OK,Thread Group 1-1,text,true,,4667,0,1,1,null,1928,0,0
1588777245719,14804,q10,200,OK,Thread Group 1-1,text,true,,4881,0,1,1,null,2206,0,0
1588777260524,37806,q63,200,OK,Thread Group 1-1,text,true,,3677,0,1,1,null,1775,0,0
1588777298331,14921,q69,200,OK,Thread Group 1-1,text,true,,3897,0,1,1,null,2171,0,0
1588777313251,29027,q60,200,OK,Thread Group 1-1,text,true,,2984,0,1,1,null,2209,0,0
1588777342278,39382,q59,200,OK,Thread Group 1-1,text,true,,15584,0,1,1,null,1631,0,0
1588777381662,5435,q85,200,OK,Thread Group 1-1,text,true,,2551,0,1,1,null,2319,0,0
1588777387096,46718,q28,200,OK,Thread Group 1-1,text,true,,322,0,1,1,null,1492,0,0
1588777433814,8279,q81,200,OK,Thread Group 1-1,text,true,,13225,0,1,1,null,1731,0,0
1588777442094,32495,q97,200,OK,Thread Group 1-1,text,true,,68,0,1,1,null,1533,0,0
1588777474590,46959,q17,200,OK,Thread Group 1-1,text,true,,16991,0,1,1,null,2092,0,0
