timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600019264788,1588,ALTER SESSION,200,OK,Single Thread Group 1-1,text,true,,40,0,1,1,null,1576,0,1485
1600019266378,115208,q96,200,OK,Single Thread Group 1-1,text,true,,17,0,1,1,null,115194,0,0
1600019381586,207169,q7,200,OK,Single Thread Group 1-1,text,true,,6428,0,1,1,null,207148,0,0
1600019588755,134771,q19,200,OK,Single Thread Group 1-1,text,true,,5401,0,1,1,null,134743,0,0
1600019723526,156980,q25,200,OK,Single Thread Group 1-1,text,true,,16653,0,1,1,null,156961,0,0
1600019880506,1739444,q78,200,OK,Single Thread Group 1-1,text,true,,4053,0,1,1,null,1739436,0,0
1600021619951,15067,q1,200,OK,Single Thread Group 1-1,text,true,,1714,0,1,1,null,15058,0,0
1600021635018,4786,q91,200,OK,Single Thread Group 1-1,text,true,,3050,0,1,1,null,4778,0,0
1600021639805,62260,q43,200,OK,Single Thread Group 1-1,text,true,,10709,0,1,1,null,62235,0,0
1600021702066,46718,q45,200,OK,Single Thread Group 1-1,text,true,,2218,0,1,1,null,46711,0,0
1600021748785,118180,q33,200,OK,Single Thread Group 1-1,text,true,,1633,0,1,1,null,118169,0,0
1600021866965,138654,q46,200,OK,Single Thread Group 1-1,text,true,,6082,0,1,1,null,138645,0,0
1600022005619,23587,q62,200,OK,Single Thread Group 1-1,text,true,,6636,0,1,1,null,23578,0,0
1600022029207,37196,q10,200,OK,Single Thread Group 1-1,text,true,,4647,0,1,1,null,37180,0,0
1600022066403,48321,q63,200,OK,Single Thread Group 1-1,text,true,,2941,0,1,1,null,48299,0,0
1600022114725,32029,q69,200,OK,Single Thread Group 1-1,text,true,,4197,0,1,1,null,32021,0,0
1600022146753,76678,q60,200,OK,Single Thread Group 1-1,text,true,,2822,0,1,1,null,76661,0,0
1600022223432,185719,q59,200,OK,Single Thread Group 1-1,text,true,,10592,0,1,1,null,185711,0,0
1600022409152,49259,q85,200,OK,Single Thread Group 1-1,text,true,,3359,0,1,1,null,49250,0,0
1600022458411,320575,q28,200,OK,Single Thread Group 1-1,text,true,,291,0,1,1,null,320566,0,0
1600022778985,11168,q81,200,OK,Single Thread Group 1-1,text,true,,13693,0,1,1,null,11160,0,0
1600022790153,170470,q97,200,OK,Single Thread Group 1-1,text,true,,71,0,1,1,null,170462,0,0
1600022960624,97789,q17,200,OK,Single Thread Group 1-1,text,true,,18787,0,1,1,null,97768,0,0
1600023058414,115881,q47,200,OK,Single Thread Group 1-1,text,true,,9346,0,1,1,null,115857,0,0
1600023174296,43001,q3,200,OK,Single Thread Group 1-1,text,true,,4244,0,1,1,null,42975,0,0
1600023217297,80601,q51,200,OK,Single Thread Group 1-1,text,true,,4760,0,1,1,null,80541,0,0
1600023297898,45540,q35,200,OK,Single Thread Group 1-1,text,true,,5869,0,1,1,null,45529,0,0
1600023343438,123263,q49,200,OK,Single Thread Group 1-1,text,true,,2850,0,1,1,null,123209,0,0
1600023466702,263320,q9,200,OK,Single Thread Group 1-1,text,true,,104,0,1,1,null,263270,0,0
1600023730022,75071,q31,200,OK,Single Thread Group 1-1,text,true,,19292,0,1,1,null,75052,0,0
1600023805094,297114,q11,200,OK,Single Thread Group 1-1,text,true,,5924,0,1,1,null,297108,0,0
