timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600102001350,1424,ALTER SESSION,200,OK,Single Thread Group 1-1,text,true,,40,0,1,1,null,1412,0,1289
1600102002775,84203,q96,200,OK,Single Thread Group 1-1,text,true,,17,0,1,1,null,84186,0,0
1600102086978,43715,q7,200,OK,Single Thread Group 1-1,text,true,,6428,0,1,1,null,43696,0,0
1600102130693,9963,q19,200,OK,Single Thread Group 1-1,text,true,,5401,0,1,1,null,9953,0,0
1600102140658,22006,q25,200,OK,Single Thread Group 1-1,text,true,,16653,0,1,1,null,21983,0,0
1600102162663,1576192,q78,200,OK,Single Thread Group 1-1,text,true,,4053,0,1,1,null,1576183,0,0
1600103738856,11753,q1,200,OK,Single Thread Group 1-1,text,true,,1714,0,1,1,null,11745,0,0
1600103750609,3384,q91,200,OK,Single Thread Group 1-1,text,true,,3050,0,1,1,null,3376,0,0
1600103753993,27897,q43,200,OK,Single Thread Group 1-1,text,true,,10709,0,1,1,null,27874,0,0
1600103781890,8469,q45,200,OK,Single Thread Group 1-1,text,true,,2218,0,1,1,null,8399,0,0
1600103790360,13008,q33,200,OK,Single Thread Group 1-1,text,true,,1633,0,1,1,null,13001,0,0
1600103803368,108940,q46,200,OK,Single Thread Group 1-1,text,true,,6082,0,1,1,null,108931,0,0
1600103912309,14829,q62,200,OK,Single Thread Group 1-1,text,true,,6636,0,1,1,null,14819,0,0
1600103927138,12938,q10,200,OK,Single Thread Group 1-1,text,true,,4647,0,1,1,null,12930,0,0
1600103940075,18255,q63,200,OK,Single Thread Group 1-1,text,true,,2941,0,1,1,null,18224,0,0
1600103958332,6845,q69,200,OK,Single Thread Group 1-1,text,true,,4197,0,1,1,null,6832,0,0
1600103965178,9068,q60,200,OK,Single Thread Group 1-1,text,true,,2822,0,1,1,null,9057,0,0
1600103974247,144060,q59,200,OK,Single Thread Group 1-1,text,true,,10592,0,1,1,null,144037,0,0
1600104118307,21450,q85,200,OK,Single Thread Group 1-1,text,true,,3359,0,1,1,null,21442,0,0
1600104139757,348093,q28,200,OK,Single Thread Group 1-1,text,true,,291,0,1,1,null,348086,0,0
1600104487852,10097,q81,200,OK,Single Thread Group 1-1,text,true,,13693,0,1,1,null,10078,0,0
1600104497949,155429,q97,200,OK,Single Thread Group 1-1,text,true,,71,0,1,1,null,155409,0,0
1600104653378,25089,q17,200,OK,Single Thread Group 1-1,text,true,,18787,0,1,1,null,25072,0,0
1600104678467,78573,q47,200,OK,Single Thread Group 1-1,text,true,,9346,0,1,1,null,78533,0,0
1600104757040,30812,q3,200,OK,Single Thread Group 1-1,text,true,,4244,0,1,1,null,30804,0,0
1600104787852,39922,q51,200,OK,Single Thread Group 1-1,text,true,,4760,0,1,1,null,39893,0,0
1600104827775,30847,q35,200,OK,Single Thread Group 1-1,text,true,,5869,0,1,1,null,30695,0,0
1600104858622,31858,q49,200,OK,Single Thread Group 1-1,text,true,,2850,0,1,1,null,31837,0,0
1600104890480,273201,q9,200,OK,Single Thread Group 1-1,text,true,,104,0,1,1,null,273194,0,0
1600105163681,31432,q31,200,OK,Single Thread Group 1-1,text,true,,19292,0,1,1,null,31409,0,0
1600105195114,316522,q11,200,OK,Single Thread Group 1-1,text,true,,5924,0,1,1,null,316515,0,0
1600105511637,92666,q93,200,OK,Single Thread Group 1-1,text,true,,1004,0,1,1,null,92663,0,0
1600105604303,35277,q29,200,OK,Single Thread Group 1-1,text,true,,15372,0,1,1,null,35253,0,0
1600105639580,11098,q89,200,OK,Single Thread Group 1-1,text,true,,7779,0,1,1,null,11090,0,0
1600105650678,8655,q15,200,OK,Single Thread Group 1-1,text,true,,1575,0,1,1,null,8647,0,0
1600105659333,2137,q52,200,OK,Single Thread Group 1-1,text,true,,4251,0,1,1,null,2127,0,0
1600105661470,67202,q50,200,OK,Single Thread Group 1-1,text,true,,9492,0,1,1,null,67184,0,0
1600105728672,2738,q42,200,OK,Single Thread Group 1-1,text,true,,409,0,1,1,null,2727,0,0
1600105731410,255919,q88,200,OK,Single Thread Group 1-1,text,true,,171,0,1,1,null,255909,0,0
1600105987330,31218,q57,200,OK,Single Thread Group 1-1,text,true,,6913,0,1,1,null,31194,0,0
1600106018549,70914,q65,200,OK,Single Thread Group 1-1,text,true,,259,0,1,1,null,70899,0,0
1600106089463,8169,q71,200,OK,Single Thread Group 1-1,text,true,,25234987,0,1,1,null,6617,0,0
1600106097634,18691,q34,200,OK,Single Thread Group 1-1,text,true,,2275240,0,1,1,null,18540,0,0
1600106116422,8996,q73,200,OK,Single Thread Group 1-1,text,true,,22311,0,1,1,null,8976,0,0
1600106125419,6107,q84,200,OK,Single Thread Group 1-1,text,true,,3025,0,1,1,null,6100,0,0
1600106131527,2167,q55,200,OK,Single Thread Group 1-1,text,true,,3730,0,1,1,null,2159,0,0
1600106133695,6878,q56,200,OK,Single Thread Group 1-1,text,true,,2822,0,1,1,null,6872,0,0
1600106140573,101965,q2,200,OK,Single Thread Group 1-1,text,true,,101029,0,1,1,null,101887,0,0
1600106242538,18022,q26,200,OK,Single Thread Group 1-1,text,true,,6497,0,1,1,null,18006,0,0
1600106260561,10071,q53,200,OK,Single Thread Group 1-1,text,true,,2667,0,1,1,null,10053,0,0
1600106270633,52094,q79,200,OK,Single Thread Group 1-1,text,true,,4975,0,1,1,null,52071,0,0
1600106322726,603910,q4,200,OK,Single Thread Group 1-1,text,true,,5908,0,1,1,null,603890,0,0
1600106926638,31830,q99,200,OK,Single Thread Group 1-1,text,true,,768,0,1,1,null,31825,0,0
1600106958469,21773,q68,200,OK,Single Thread Group 1-1,text,true,,6960,0,1,1,null,21742,0,0
1600106980242,2661,q83,200,OK,Single Thread Group 1-1,text,true,,9047,0,1,1,null,2632,0,0
1600106982903,142052,q76,200,OK,Single Thread Group 1-1,text,true,,6197,0,1,1,null,142031,0,0
