timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600036507026,1359,ALTER SESSION,200,OK,Single Thread Group 1-1,text,true,,40,0,1,1,null,1348,0,1247
1600036508387,230970,q96,200,OK,Single Thread Group 1-1,text,true,,17,0,1,1,null,230962,0,0
1600036739357,405513,q7,200,OK,Single Thread Group 1-1,text,true,,6428,0,1,1,null,405461,0,0
1600037144871,227459,q19,200,OK,Single Thread Group 1-1,text,true,,5401,0,1,1,null,227433,0,0
1600037372332,193808,q25,200,OK,Single Thread Group 1-1,text,true,,16653,0,1,1,null,193798,0,0
1600037566139,3236238,q78,200,OK,Single Thread Group 1-1,text,true,,4053,0,1,1,null,3236219,0,0
1600040802378,45725,q1,200,OK,Single Thread Group 1-1,text,true,,1714,0,1,1,null,45699,0,0
1600040848103,5634,q91,200,OK,Single Thread Group 1-1,text,true,,3050,0,1,1,null,5617,0,0
1600040853738,177129,q43,200,OK,Single Thread Group 1-1,text,true,,10709,0,1,1,null,177097,0,0
1600041030867,90325,q45,200,OK,Single Thread Group 1-1,text,true,,2218,0,1,1,null,90318,0,0
1600041121191,251579,q33,200,OK,Single Thread Group 1-1,text,true,,1633,0,1,1,null,251558,0,0
1600041372771,262403,q46,200,OK,Single Thread Group 1-1,text,true,,6082,0,1,1,null,262373,0,0
1600041635175,45148,q62,200,OK,Single Thread Group 1-1,text,true,,6636,0,1,1,null,45128,0,0
1600041680323,95445,q10,200,OK,Single Thread Group 1-1,text,true,,4647,0,1,1,null,95437,0,0
1600041775768,101039,q63,200,OK,Single Thread Group 1-1,text,true,,2941,0,1,1,null,101017,0,0
1600041876806,71377,q69,200,OK,Single Thread Group 1-1,text,true,,4197,0,1,1,null,71354,0,0
1600041948183,214889,q60,200,OK,Single Thread Group 1-1,text,true,,2822,0,1,1,null,214866,0,0
1600042163073,356417,q59,200,OK,Single Thread Group 1-1,text,true,,10592,0,1,1,null,356409,0,0
1600042519491,133003,q85,200,OK,Single Thread Group 1-1,text,true,,3359,0,1,1,null,132963,0,0
1600042652495,793353,q28,200,OK,Single Thread Group 1-1,text,true,,291,0,1,1,null,793326,0,0
1600043445848,15919,q81,200,OK,Single Thread Group 1-1,text,true,,13693,0,1,1,null,15899,0,0
1600043461767,365931,q97,200,OK,Single Thread Group 1-1,text,true,,71,0,1,1,null,365923,0,0
1600043827699,192875,q17,200,OK,Single Thread Group 1-1,text,true,,18787,0,1,1,null,192867,0,0
1600044020575,237665,q47,200,OK,Single Thread Group 1-1,text,true,,9346,0,1,1,null,237658,0,0
1600044258240,113915,q3,200,OK,Single Thread Group 1-1,text,true,,4244,0,1,1,null,113907,0,0
1600044372155,209882,q51,200,OK,Single Thread Group 1-1,text,true,,4760,0,1,1,null,209849,0,0
1600044582037,120833,q35,200,OK,Single Thread Group 1-1,text,true,,5869,0,1,1,null,120814,0,0
1600044702869,285495,q49,200,OK,Single Thread Group 1-1,text,true,,2850,0,1,1,null,285474,0,0
1600044988365,548672,q9,200,OK,Single Thread Group 1-1,text,true,,104,0,1,1,null,548658,0,0
1600045537037,220234,q31,200,OK,Single Thread Group 1-1,text,true,,19292,0,1,1,null,220225,0,0
1600045757272,568313,q11,200,OK,Single Thread Group 1-1,text,true,,5924,0,1,1,null,568288,0,0
1600046325584,188114,q93,200,OK,Single Thread Group 1-1,text,true,,1004,0,1,1,null,188101,0,0
1600046513699,278048,q29,200,OK,Single Thread Group 1-1,text,true,,15372,0,1,1,null,278040,0,0
1600046791747,132331,q89,200,OK,Single Thread Group 1-1,text,true,,7779,0,1,1,null,132324,0,0
1600046924080,11769,q15,200,OK,Single Thread Group 1-1,text,true,,1575,0,1,1,null,11753,0,0
1600046935850,110362,q52,200,OK,Single Thread Group 1-1,text,true,,4251,0,1,1,null,110334,0,0
1600047046213,188834,q50,200,OK,Single Thread Group 1-1,text,true,,9492,0,1,1,null,188827,0,0
1600047235047,110368,q42,200,OK,Single Thread Group 1-1,text,true,,409,0,1,1,null,110345,0,0
1600047345414,557396,q88,200,OK,Single Thread Group 1-1,text,true,,171,0,1,1,null,557388,0,0
1600047902812,82027,q57,200,OK,Single Thread Group 1-1,text,true,,6913,0,1,1,null,82002,0,0
1600047984839,291522,q65,200,OK,Single Thread Group 1-1,text,true,,259,0,1,1,null,291509,0,0
1600048276361,228861,q71,200,OK,Single Thread Group 1-1,text,true,,25234987,0,1,1,null,227668,0,0
1600048505223,142998,q34,200,OK,Single Thread Group 1-1,text,true,,2275240,0,1,1,null,142334,0,0
1600048648364,127427,q73,200,OK,Single Thread Group 1-1,text,true,,22311,0,1,1,null,127418,0,0
1600048775791,17002,q84,200,OK,Single Thread Group 1-1,text,true,,3025,0,1,1,null,16994,0,0
