timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600089404153,1386,ALTER SESSION,200,OK,Single Thread Group 1-1,text,true,,40,0,1,1,null,1373,0,1276
1600089405541,235905,q96,200,OK,Single Thread Group 1-1,text,true,,17,0,1,1,null,235880,0,0
1600089641446,453434,q7,200,OK,Single Thread Group 1-1,text,true,,6428,0,1,1,null,453422,0,0
1600090094880,217855,q19,200,OK,Single Thread Group 1-1,text,true,,5401,0,1,1,null,217842,0,0
1600090312736,197108,q25,200,OK,Single Thread Group 1-1,text,true,,16653,0,1,1,null,197089,0,0
1600090509843,3183317,q78,200,OK,Single Thread Group 1-1,text,true,,4053,0,1,1,null,3183293,0,0
1600093693161,19593,q1,200,OK,Single Thread Group 1-1,text,true,,1714,0,1,1,null,19583,0,0
1600093712756,4777,q91,200,OK,Single Thread Group 1-1,text,true,,3050,0,1,1,null,4759,0,0
1600093717533,130868,q43,200,OK,Single Thread Group 1-1,text,true,,10709,0,1,1,null,130846,0,0
1600093848401,12393,q45,200,OK,Single Thread Group 1-1,text,true,,2218,0,1,1,null,12383,0,0
1600093860795,180408,q33,200,OK,Single Thread Group 1-1,text,true,,1633,0,1,1,null,180399,0,0
1600094041203,271503,q46,200,OK,Single Thread Group 1-1,text,true,,6082,0,1,1,null,271495,0,0
1600094312705,29475,q62,200,OK,Single Thread Group 1-1,text,true,,6636,0,1,1,null,29442,0,0
1600094342182,55659,q10,200,OK,Single Thread Group 1-1,text,true,,4647,0,1,1,null,55652,0,0
1600094397841,83339,q63,200,OK,Single Thread Group 1-1,text,true,,2941,0,1,1,null,83317,0,0
1600094481180,38488,q69,200,OK,Single Thread Group 1-1,text,true,,4197,0,1,1,null,38468,0,0
1600094519668,90977,q60,200,OK,Single Thread Group 1-1,text,true,,2822,0,1,1,null,90950,0,0
1600094610645,335615,q59,200,OK,Single Thread Group 1-1,text,true,,10592,0,1,1,null,335583,0,0
1600094946260,52237,q85,200,OK,Single Thread Group 1-1,text,true,,3359,0,1,1,null,52230,0,0
1600094998498,680135,q28,200,OK,Single Thread Group 1-1,text,true,,291,0,1,1,null,680126,0,0
1600095678633,14370,q81,200,OK,Single Thread Group 1-1,text,true,,13693,0,1,1,null,14351,0,0
1600095693003,338615,q97,200,OK,Single Thread Group 1-1,text,true,,71,0,1,1,null,338593,0,0
1600096031619,105926,q17,200,OK,Single Thread Group 1-1,text,true,,18787,0,1,1,null,105910,0,0
1600096137545,199358,q47,200,OK,Single Thread Group 1-1,text,true,,9346,0,1,1,null,199348,0,0
1600096336904,107050,q3,200,OK,Single Thread Group 1-1,text,true,,4244,0,1,1,null,107032,0,0
1600096443955,107576,q51,200,OK,Single Thread Group 1-1,text,true,,4760,0,1,1,null,107363,0,0
1600096551531,68138,q35,200,OK,Single Thread Group 1-1,text,true,,5869,0,1,1,null,68119,0,0
1600096619670,144318,q49,200,OK,Single Thread Group 1-1,text,true,,2850,0,1,1,null,144310,0,0
1600096763989,564842,q9,200,OK,Single Thread Group 1-1,text,true,,104,0,1,1,null,564834,0,0
1600097328831,65271,q31,200,OK,Single Thread Group 1-1,text,true,,19292,0,1,1,null,65247,0,0
