timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600615513723,1581,ALTER SESSION,200,OK,Single Thread Group 1-1,text,true,,40,0,1,1,null,1559,0,1460
1600615515306,342026,q96,200,OK,Single Thread Group 1-1,text,true,,17,0,1,1,null,342000,0,0
1600615857333,60220,q1,200,OK,Single Thread Group 1-1,text,true,,1714,0,1,1,null,60194,0,0
1600615917553,41996,q91,200,OK,Single Thread Group 1-1,text,true,,3050,0,1,1,null,41965,0,0
1600615959548,376202,q43,200,OK,Single Thread Group 1-1,text,true,,10703,0,1,1,null,376192,0,0
1600616335752,150003,q45,200,OK,Single Thread Group 1-1,text,true,,1762,0,1,1,null,149982,0,0
1600616485754,859473,q33,200,OK,Single Thread Group 1-1,text,true,,1633,0,1,1,null,859460,0,0
1600617345227,660435,q46,200,OK,Single Thread Group 1-1,text,true,,4074,0,1,1,null,660417,0,0
1600618005663,153788,q62,200,OK,Single Thread Group 1-1,text,true,,4986,0,1,1,null,153766,0,0
1600618159450,560562,q10,200,OK,Single Thread Group 1-1,text,true,,4647,0,1,1,null,560552,0,0
1600618720013,419201,q63,200,OK,Single Thread Group 1-1,text,true,,2941,0,1,1,null,419194,0,0
1600619139213,561601,q69,200,OK,Single Thread Group 1-1,text,true,,4197,0,1,1,null,561581,0,0
1600619700816,831078,q60,200,OK,Single Thread Group 1-1,text,true,,2822,0,1,1,null,831068,0,0
1600623716990,63886,q81,200,OK,Single Thread Group 1-1,text,true,,13569,0,1,1,null,63877,0,0
1600623780877,880529,q17,200,OK,Single Thread Group 1-1,text,true,,18779,0,1,1,null,880478,0,0
1600624661406,526388,q47,200,OK,Single Thread Group 1-1,text,true,,9346,0,1,1,null,526306,0,0
1600625187794,357366,q3,200,OK,Single Thread Group 1-1,text,true,,4244,0,1,1,null,357348,0,0
1600625545160,530369,q51,200,OK,Single Thread Group 1-1,text,true,,4760,0,1,1,null,530344,0,0
1600626075528,574473,q35,200,OK,Single Thread Group 1-1,text,true,,5669,0,1,1,null,574448,0,0
1600630650740,546618,q31,200,OK,Single Thread Group 1-1,text,true,,19292,0,1,1,null,546608,0,0
1600637772894,870688,q29,200,OK,Single Thread Group 1-1,text,true,,15372,0,1,1,null,870676,0,0
1600638643583,425932,q89,200,OK,Single Thread Group 1-1,text,true,,7779,0,1,1,null,425918,0,0
1600639069515,237935,q15,200,OK,Single Thread Group 1-1,text,true,,1573,0,1,1,null,237928,0,0
1600639307450,356739,q52,200,OK,Single Thread Group 1-1,text,true,,4251,0,1,1,null,356725,0,0
1600639664189,554719,q50,200,OK,Single Thread Group 1-1,text,true,,9369,0,1,1,null,554698,0,0
1600640218908,355663,q42,200,OK,Single Thread Group 1-1,text,true,,397,0,1,1,null,355644,0,0
1600640574571,294627,q57,200,OK,Single Thread Group 1-1,text,true,,6913,0,1,1,null,294585,0,0
1600640869198,917246,q65,200,OK,Single Thread Group 1-1,text,true,,259,0,1,1,null,917238,0,0
1600641786445,771878,q71,200,OK,Single Thread Group 1-1,text,true,,25228567,0,1,1,null,769878,0,0
1600642558330,455084,q34,200,OK,Single Thread Group 1-1,text,true,,2237164,0,1,1,null,454935,0,0
1600643013416,455198,q73,200,OK,Single Thread Group 1-1,text,true,,21887,0,1,1,null,455188,0,0
1600643468614,41428,q84,200,OK,Single Thread Group 1-1,text,true,,3025,0,1,1,null,41404,0,0
1600643510042,356162,q55,200,OK,Single Thread Group 1-1,text,true,,3730,0,1,1,null,356118,0,0
1600643866204,814166,q56,200,OK,Single Thread Group 1-1,text,true,,2822,0,1,1,null,814146,0,0
1600644680370,371279,q2,200,OK,Single Thread Group 1-1,text,true,,101029,0,1,1,null,371205,0,0
1600645051649,373658,q26,200,OK,Single Thread Group 1-1,text,true,,6497,0,1,1,null,373650,0,0
1600645425307,419944,q53,200,OK,Single Thread Group 1-1,text,true,,2667,0,1,1,null,419915,0,0
1600645845252,627820,q79,200,OK,Single Thread Group 1-1,text,true,,3177,0,1,1,null,627799,0,0
1600646473071,291096,q99,200,OK,Single Thread Group 1-1,text,true,,578,0,1,1,null,291084,0,0
1600646764169,739005,q68,200,OK,Single Thread Group 1-1,text,true,,5972,0,1,1,null,738985,0,0
1600647503174,82301,q83,200,OK,Single Thread Group 1-1,text,true,,9047,0,1,1,null,82289,0,0
1600647585474,849110,q76,200,OK,Single Thread Group 1-1,text,true,,6152,0,1,1,null,849100,0,0
