timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600107650456,1611,ALTER SESSION,200,OK,Single Thread Group 1-1,text,true,,40,0,1,1,null,1595,0,1499
1600107652068,64098,q96,200,OK,Single Thread Group 1-1,text,true,,17,0,1,1,null,64079,0,0
1600107716166,28221,q7,200,OK,Single Thread Group 1-1,text,true,,6428,0,1,1,null,28212,0,0
1600107744387,8409,q19,200,OK,Single Thread Group 1-1,text,true,,5401,0,1,1,null,8400,0,0
1600107752797,19055,q25,200,OK,Single Thread Group 1-1,text,true,,16653,0,1,1,null,19014,0,0
1600107771852,728559,q78,200,OK,Single Thread Group 1-1,text,true,,4053,0,1,1,null,728552,0,0
1600108500411,7176,q1,200,OK,Single Thread Group 1-1,text,true,,1714,0,1,1,null,7165,0,0
1600108507587,3893,q91,200,OK,Single Thread Group 1-1,text,true,,3050,0,1,1,null,3885,0,0
1600108511480,14374,q43,200,OK,Single Thread Group 1-1,text,true,,10709,0,1,1,null,14366,0,0
1600108525854,6552,q45,200,OK,Single Thread Group 1-1,text,true,,2218,0,1,1,null,6542,0,0
1600108532406,8001,q33,200,OK,Single Thread Group 1-1,text,true,,1633,0,1,1,null,7993,0,0
1600108540408,56943,q46,200,OK,Single Thread Group 1-1,text,true,,6082,0,1,1,null,56935,0,0
1600108597351,7918,q62,200,OK,Single Thread Group 1-1,text,true,,6636,0,1,1,null,7909,0,0
1600108605269,8388,q10,200,OK,Single Thread Group 1-1,text,true,,4647,0,1,1,null,8378,0,0
1600108613657,9790,q63,200,OK,Single Thread Group 1-1,text,true,,2941,0,1,1,null,9757,0,0
1600108623447,6608,q69,200,OK,Single Thread Group 1-1,text,true,,4197,0,1,1,null,6600,0,0
1600108630055,7655,q60,200,OK,Single Thread Group 1-1,text,true,,2822,0,1,1,null,7646,0,0
1600108637709,72061,q59,200,OK,Single Thread Group 1-1,text,true,,10592,0,1,1,null,72048,0,0
1600108709770,8923,q85,200,OK,Single Thread Group 1-1,text,true,,3359,0,1,1,null,8915,0,0
1600108718694,115802,q28,200,OK,Single Thread Group 1-1,text,true,,291,0,1,1,null,115769,0,0
1600108834497,8144,q81,200,OK,Single Thread Group 1-1,text,true,,13693,0,1,1,null,8137,0,0
