timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1588796683337,9005,q96,200,OK,Thread Group 1-1,text,true,,13,0,1,1,null,3142,0,520
1588796692343,15618,q7,200,OK,Thread Group 1-1,text,true,,8748,0,1,1,null,2685,0,0
1588796707961,12594,q19,200,OK,Thread Group 1-1,text,true,,5928,0,1,1,null,3177,0,0
1588796720555,17842,q25,200,OK,Thread Group 1-1,text,true,,16188,0,1,1,null,4104,0,0
1588796738398,57907,q78,200,OK,Thread Group 1-1,text,true,,3762,0,1,1,null,3192,0,0
1588796796305,4755,q1,200,OK,Thread Group 1-1,text,true,,1714,0,1,1,null,2296,0,0
1588796801060,5212,q91,200,OK,Thread Group 1-1,text,true,,2638,0,1,1,null,3256,0,0
1588796806272,13975,q43,200,OK,Thread Group 1-1,text,true,,14226,0,1,1,null,1882,0,0
1588796820248,4955,q45,200,OK,Thread Group 1-1,text,true,,2173,0,1,1,null,2759,0,0
1588796825203,117568,q64,200,OK,Thread Group 1-1,text,true,,1153891,0,1,1,null,11213,0,0
1588796942772,12356,q33,200,OK,Thread Group 1-1,text,true,,2101,0,1,1,null,3156,0,0
1588796955128,13475,q46,200,OK,Thread Group 1-1,text,true,,4489,0,1,1,null,2884,0,0
1588796968605,3534,q62,200,OK,Thread Group 1-1,text,true,,4667,0,1,1,null,2612,0,0
1588796972140,8952,q10,200,OK,Thread Group 1-1,text,true,,4881,0,1,1,null,3091,0,0
1588796981091,10796,q63,200,OK,Thread Group 1-1,text,true,,3805,0,1,1,null,2388,0,1
1588796991887,8524,q69,200,OK,Thread Group 1-1,text,true,,3897,0,1,1,null,3153,0,0
1588797000411,12400,q60,200,OK,Thread Group 1-1,text,true,,3087,0,1,1,null,3267,0,0
1588797012811,31053,q59,200,OK,Thread Group 1-1,text,true,,15668,0,1,1,null,2207,0,0
1588797043866,15881,q85,200,OK,Thread Group 1-1,text,true,,2645,0,1,1,null,5318,0,0
1588797059746,31787,q28,200,OK,Thread Group 1-1,text,true,,320,0,1,1,null,1449,0,0
1588797091534,12341,q81,200,OK,Thread Group 1-1,text,true,,13225,0,1,1,null,2345,0,0
1588797103876,15857,q97,200,OK,Thread Group 1-1,text,true,,68,0,1,1,null,1983,0,0
1588797119734,16804,q17,200,OK,Thread Group 1-1,text,true,,16991,0,1,1,null,3609,0,0
1588797136537,43845,q47,200,OK,Thread Group 1-1,text,true,,11286,0,1,1,null,2541,0,0
1588797180383,8427,q3,200,OK,Thread Group 1-1,text,true,,4768,0,1,1,null,1923,0,0
